Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Public Service Aide,12081.2525,34013.78974,35.5186899
Park & Zoo,22168.76972,65363.66463,33.91604471
Energy & Environment,14254.41,43219.5,32.98143199
Revenue,15629.20409,47641.78177,32.8056666
Museum & Cultural Affairs,27037.39,83926.07,32.21572272
Housekeeping & Laundry,24222.12512,78212.25968,30.96972932
Street Transit,28657.36076,93512.36842,30.64552983
Recreation,5478.129667,17940.71921,30.53461571
Dietary & Food,15905.13267,52375.86136,30.36729565
Computer Operatns & Repro Svcs,18707.19929,62074.04559,30.13691006
Semi-Skilled & General Labor,23523.72472,78944.446,29.79782102
Agriculture & Horticulture,27886.59032,94075.71177,29.6427099
Hospital Administration,30206.15697,101924.9542,29.63568364
Med Therapy & Auxiliary,24068.19853,81334.19392,29.59173427
"Payroll, Billing & Accounting",28021.17299,94700.32906,29.589309
"Clerical, Secretarial & Steno",7166.984747,24424.69328,29.34319242
Information Systems,25076.28877,85742.39963,29.24607765
Purchasing & Storekeeping,27021.74205,92451.02252,29.22817002
Pub Relations & Spec Assts,28819.732,98635.982,29.21827452
Personnel,10111.66089,34685.24148,29.15263224
Property Administration,26791.14333,93551.41,28.63788299
"Budget, Admn & Stats Analysis",22721.52138,79834.02994,28.46094753
Human Services,28648.36599,100833.913,28.4114393
SF Superior Court,13636.09667,48377.16,28.18705494
Health & Sanitation Inspection,37237.51775,133347.449,27.92518194
Sub-Professional Engineering,20620.49491,74043.23262,27.84926343
Airport Operation,33661.15226,122059.0117,27.57776898
Protection & Apprehension,28576.10106,103759.2476,27.54077514
Professional Engineering,26174.42065,96624.48077,27.0888086
Skilled Labor,28135.37064,104750.349,26.8594529
Construction Inspection,30346.77437,113636.7501,26.70507063
Port Operation,32223.25,121815.55,26.45249313
Legal & Court,30144.47473,114357.3222,26.35989908
Journeyman Trade,34033.17371,131843.6975,25.8132731
"Lab, Pharmacy & Med Techs",31432.09186,122504.9188,25.65782026
Nursing,23309.2834,92637.70944,25.1617657
Probation & Parole,29549.56712,117866.3483,25.07040181
Public Safety Inspection,37823.06503,151844.5751,24.90906574
Supervisory-Labor & Trade,36258.26841,148397.8205,24.43315426
Correction & Detention,32598.79686,139648.7069,23.34342909
Administrative-Labor & Trades,35398.45012,162831.6326,21.73929571
Medical & Dental,25577.2269,122705.5689,20.84438965
Fire Services,38669.03829,187040.452,20.67415785
Police Services,32260.58618,161534.0475,19.97138479
