,home,Average
0,Abahani Limited,172
1,Abbottabad Falcons,139.4545455
2,Abbottabad Region,182.6666667
3,Abbottabad Rhinos,165
4,Adelaide Strikers,163.1111111
5,Afghanistan,145.5609756
6,Andhra,130.6923077
7,Antigua,146
8,Antigua and Barbuda,153
9,Assam,139
10,Auckland,164.2571429
11,Australia,154.7878788
12,Australia A,174
13,Azad Jammu & Kashmir Region,123
14,Badureliya Sports Club,155
15,Bahawalpur Region,154.6
16,Bahawalpur Stags,149.1666667
17,Baluchistan,217
18,Bangladesh,145.1333333
19,Bangladesh A,166
20,Barbados,120.8461538
21,Barbados Tridents,147.6153846
22,Barisal Bulls,157.75
23,Barisal Burners,154.7272727
24,Baroda,148.7142857
25,Basnahira,141.6666667
26,Basnahira Cricket Dundee,129
27,Basnahira Greens,139
28,Basnahira North,126
29,Basnahira South,139.75
30,Bengal,154.76
31,Bermuda,149.5
32,Bloomfield Cricket and Athletic Club,124.1666667
33,Boland,146.5714286
34,Border,135.7
35,Brisbane Heat,181.4285714
36,Burgher Recreation Club,132.4
37,Canada,133.5833333
38,Canterbury,161.9
39,Cape Cobras,155.1538462
40,Central Districts,165.9090909
41,Centrals,117
42,Chennai Super Kings,167.3442623
43,Chilaw Marians Cricket Club,155.75
44,Chittagong Kings,159.1
45,Chittagong Vikings,162.5
46,Colombo Cricket Club,161.75
47,Colts Cricket Club,157.5555556
48,Combined Campuses and Colleges,134.5
49,Comilla Victorians,138.8571429
50,Deccan Chargers,153.9230769
51,Delhi,145.9393939
52,Delhi Daredevils,155
53,Derbyshire,146.5714286
54,Dhaka Division,130
55,Dhaka Dynamites,138.8
56,Dhaka Gladiators,172.6666667
57,Dhaka Metropolis,168.5
58,Dolphins,157.1785714
59,Durham,155.3714286
60,Duronto Rajshahi,149.4
61,Eagles,152.0833333
62,Eastern Province,131.9230769
63,Easterns,148.3333333
64,Easterns (Zimbabwe),144.25
65,England,157.7647059
66,England Lions,149.3333333
67,Essex,167.3409091
68,Faisalabad Wolves,149.5862069
69,Federally Administered Tribal Areas,139.5
70,Free State,150.9
71,Galle Cricket Club,109
72,Gauteng,129.2222222
73,Glamorgan,145.3548387
74,Gloucestershire,154.6363636
75,Goa,154.9
76,Griqualand West,138.4444444
77,Gujarat,153.8461538
78,Guyana,139.5714286
79,Guyana Amazon Warriors,136.0666667
80,Habib Bank Limited,139.4
81,Hambantota Troopers,132.5
82,Hampshire,161.7959184
83,Haryana,138.15
84,Himachal Pradesh,138.2307692
85,Hobart Hurricanes,174.7272727
86,Hong Kong,129.6666667
87,Hyderabad (India),164.3333333
88,Hyderabad Hawks,160.2857143
89,India,148.1818182
90,India A,214
91,Ireland,128.28
92,Islamabad,151
93,Islamabad Leopards,135.3333333
94,Islamabad United,149.8571429
95,Italy,130.2
96,Jamaica,117.3636364
97,Jamaica Tallawahs,151.8125
98,Jharkhand,130.9
99,Kandurata,141.6666667
100,Kandurata Maroons,132
101,Kandurata Warriors,155
102,Karachi Blues,169.5
103,Karachi Kings,154.5
104,Karachi Region Blues,185
105,Karachi Whites,161
106,Karachi Zebras,159.1111111
107,Karnataka,134.3333333
108,Kent,157.525
109,Kenya,146
110,Kerala,143
111,Khan Research Laboratories,131.6666667
112,Khan Research Labs,131.6666667
113,Khulna Royal Bengals,168.8
114,Khulna Titans,133
115,Kings XI Punjab,169.25
116,Knights,154.9090909
117,Kochi Tuskers Kerala,129.6666667
118,Kolkata Knight Riders,146.5714286
119,Kurunegala Warriors,143.5
120,Kurunegala Youth Cricket Club,148
121,KwaZulu-Natal,137.2
122,KwaZulu-Natal Inland,137.25
123,Lahore Eagles,165.0769231
124,Lahore Lions,159.5263158
125,Lahore Qalandars,179
126,Lahore Whites,162.6666667
127,Lancashire,154.0576923
128,Leicestershire,156.2702703
129,Lions,154.027027
130,Madhya Pradesh,142.5909091
131,Maharashtra,144.875
132,Mashonaland Eagles,158.2941176
133,Matabeleland Tuskers,139
134,Melbourne Renegades,142
135,Melbourne Stars,150.8666667
136,Mid West Rhinos,153.4285714
137,Middlesex,150.6666667
138,Moors Sports Club,144.8571429
139,Mountaineers,158.8571429
140,Multan Region,147.5
141,Multan Tigers,132.125
142,Mumbai,154
143,Mumbai Indians,166.9090909
144,Namibia,158
145,Netherlands,141.0769231
146,New South Wales,137.5
147,New Zealand,152.5
148,New Zealand A,227
149,Nondescripts Cricket Club,159.5555556
150,North West,168.8888889
151,Northamptonshire,163.0810811
152,Northern Cape,162.3333333
153,Northern Districts,159.875
154,Northerns,129.5
155,Northerns (Zimbabwe),198.5
156,Nottinghamshire,165.4705882
157,Odisha,146.5
158,Orissa,140.6666667
159,Otago,169
160,Pakistan,153.4210526
161,Pakistan A,189
162,Panadura Sports Club,133.6666667
163,Perth Scorchers,155.5294118
164,Peshawar,140
165,Peshawar Panthers,146
166,Peshawar Zalmi,145
167,Police Sports Club,174
168,Port Qasim Authority,190
169,Prime Bank Cricket Club,149
170,Pune Warriors,151
171,Punjab,131.8
172,Queensland,170.1428571
173,Ragama Cricket Club,150.625
174,Railways,140.9230769
175,Rajasthan,152.4545455
176,Rajasthan Royals,156.4102564
177,Rajshahi Division,131
178,Rangpur Riders,137.8888889
179,Rawalpindi Rams,163.6666667
180,Royal Challengers Bangalore,163.9574468
181,Ruhuna,150.625
182,Ruhuna Royals,145
