WORD,COUNT,RANK
the,646,1
and,544,2
to,383,3
of,337,4
i,314,5
a,238,6
that,220,7
my,201,8
in,195,9
is,175,10
you,166,11
with,152,12
not,145,13
his,143,14
macb.,137,15
it,134,16
be,132,17
your,126,18
our,123,19
but,120,20
haue,119,21
for,107,22
he,107,23
what,100,24
this,95,25
as,85,26
thou,85,27
we,82,28
so,78,29
which,78,30
enter,74,31
me,74,32
all,73,33
will,69,34
they,68,35
shall,67,36
are,65,37
no,63,38
their,62,39
macd.,58,40
vpon,58,41
then,57,42
from,56,43
him,56,44
thy,56,45
hath,52,46
yet,52,47
on,51,48
at,49,49
by,47,50
would,45,51
was,44,52
thee,43,53
good,42,54
if,42,55
vs,42,56
lady.,41,57
now,40,58
rosse.,40,59
should,40,60
who,40,61
when,39,62
did,38,63
do,38,64
make,38,65
were,38,66
like,37,67
more,37,68
or,37,69
come,36,70
her,36,71
must,36,72
'tis,35,73
ile,35,74
let,35,75
where,34,76
had,32,77
how,32,78
why,31,79
doe,30,80
great,30,81
am,29,82
exeunt.,29,83
may,29,84
there,29,85
an,28,86
know,26,87
macbeth,26,88
th',26,89
them,26,90
mal.,25,91
one,25,92
see,25,93
banq.,24,94
can,24,95
giue,24,96
"macbeth,",24,97
nor,24,98
such,24,99
those,24,100
most,22,101
say,22,102
scena,22,103
these,22,104
1.,21,105
la.,21,106
looke,21,107
"me,",21,108
things,21,109
time,21,110
cannot,20,111
doct.,20,112
lenox.,20,113
mine,20,114
speake,20,115
till,20,116
vp,20,117
done,19,118
thane,19,119
"time,",19,120
too,19,121
wife.,19,122
heare,18,123
"him,",18,124
"king,",18,125
king.,18,126
"sir,",18,127
"lord,",17,128
night,17,129
she,17,130
some,17,131
take,17,132
though,17,133
all.,16,134
do's,16,135
euery,16,136
feare,16,137
man,16,138
out,16,139
put,16,140
"well,",16,141
both,15,142
"come,",15,143
ere,15,144
ha's,15,145
heere,15,146
i'th',15,147
king,15,148
malc.,15,149
owne,15,150
poore,15,151
selfe,15,152
worthy,15,153
3.,14,154
against,14,155
before,14,156
could,14,157
"i,",14,158
shew,14,159
son.,14,160
there's,14,161
whose,14,162
"you,",14,163
banquo,13,164
"banquo,",13,165
