Name of Restaurant,City,Country Code,Day of week,Start Time hour,Start Time Minute,End time hour,End time minute
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
1 Abercrombie Lane,Sydney,AU,0,0,30,0,30
1 Abercrombie Lane,Sydney,AU,1,0,30,0,30
1 Abercrombie Lane,Sydney,AU,2,0,30,0,30
1 Abercrombie Lane,Sydney,AU,3,0,30,0,30
1 Abercrombie Lane,Sydney,AU,4,0,30,0,30
#1 Chicken Rice & Seafood,Houston,US,0,0,30,0,30
#1 Chicken Rice & Seafood,Houston,US,1,0,30,0,30
